分類コード,分類名称,診療行為コード,診療行為,点数,総計(患者数),北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
B001_30,婦人科特定疾患治療管理料,113031010,婦人科特定疾患治療管理料,250,360102,16304,2382,2315,7614,1218,3196,4340,8953,3452,4921,18358,14950,65315,31606,3369,2065,2124,793,1207,5811,5441,8388,26458,4792,3138,8860,34037,13936,2933,3200,1262,662,7986,6936,2204,991,1842,3904,676,9342,1363,2106,2057,2870,806,2672,1509
B001_31,腎代替療法指導管理料,113031110,腎代替療法指導管理料,500,12463,455,48,110,247,-,48,-,129,183,152,729,426,1731,997,165,141,57,39,38,263,272,487,1297,258,99,291,893,265,140,110,43,54,184,262,34,182,63,200,69,592,24,181,172,101,21,107,94
B001_32,一般不妊治療管理料,113036210,一般不妊治療管理料,250,195520,6287,1095,750,3005,838,1220,1434,3289,2903,2776,9676,9104,32749,15703,2865,1360,1086,1028,866,2735,2454,5176,14106,1899,2327,4349,19799,9827,2377,1194,739,784,3304,3896,1424,1129,1292,1412,427,7552,784,1348,1792,1314,1099,1584,2284
B001_33,生殖補助医療管理料,113036310,生殖補助医療管理料１,300,127662,2987,577,805,2815,-,612,1302,2371,2139,1777,5461,6834,19584,6656,1323,1862,-,710,598,1664,826,4915,7791,1805,1297,3288,14222,6800,1436,194,543,610,3114,2740,1104,775,887,1258,1015,7027,272,999,1212,0,857,1389,1812
B001_33,生殖補助医療管理料,113036410,生殖補助医療管理料２,250,58124,1428,413,0,555,315,144,66,312,447,1098,1900,1598,23168,7657,560,140,1531,37,125,406,1136,826,4526,255,541,0,1994,1076,0,506,388,0,568,549,10,0,211,20,0,1422,256,230,425,880,99,407,55
B001_34,二次性骨折予防継続管理料,113036710,二次性骨折予防継続管理料３,500,22228,862,190,78,307,199,267,224,457,412,329,828,861,1463,1089,986,235,285,117,84,513,344,761,1325,459,431,429,1457,1624,246,229,159,128,545,608,259,109,279,262,201,886,150,297,208,267,264,259,262
B001_35,アレルギー性鼻炎免疫療法治療管理料,113036810,アレルギー性鼻炎免疫療法治療管理料（１月目）,280,127539,800,571,630,1003,509,885,734,1894,2652,1428,9357,6492,27101,11298,1339,783,450,577,621,1572,2188,4378,12169,1835,1084,1792,7018,5587,460,440,197,223,1704,2023,1672,658,547,899,379,6022,539,356,1664,841,702,932,612
B001_35,アレルギー性鼻炎免疫療法治療管理料,113036910,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25,389051,2819,1507,2457,2869,1703,2454,2330,6225,8461,4511,24404,19842,79431,38419,4554,2226,1215,1659,1640,4467,7315,13411,38353,6798,3686,5562,22545,16270,1597,1443,476,706,5630,5312,4881,2066,1615,2996,1034,17497,1438,1220,5346,3293,2406,3086,1185
B001_36,下肢創傷処置管理料,113037010,下肢創傷処置管理料,500,9277,300,-,74,127,18,39,66,143,81,19,633,408,1263,537,30,16,-,13,23,248,120,246,576,72,97,281,1201,600,53,31,80,23,214,171,58,95,60,161,102,463,42,80,101,32,142,99,44
B001-2,小児科外来診療料,113003510,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付する場合）初診時（１日につき）,599,3708916,97141,25063,32457,76178,25520,29558,58089,87292,59554,64494,248120,197358,506943,314814,42058,29294,26935,22828,29094,54765,71812,110422,284823,50119,44662,63652,194094,144612,21702,25105,12473,22936,54574,60865,36698,21141,31033,36508,16942,190219,30367,35656,62929,41291,31883,38740,42385
B001-2,小児科外来診療料,113003610,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付する場合）再診時（１日につき）,406,2496906,56493,16066,20891,55203,18593,20709,37178,56717,43984,50666,167867,118431,366619,213212,27428,20582,15066,14380,20099,35285,50050,71248,182154,34596,29874,42638,119282,90848,12833,16305,7740,15994,37344,37861,25478,12750,23855,22901,9276,126762,19848,22309,46116,27886,17407,21716,19710
B001-2,小児科外来診療料,113003710,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付しない場合）初診時（１日につき）,716,1096315,19782,2640,4411,15671,4143,8125,17013,21701,21872,41435,55757,35400,84319,46158,11748,21288,19835,16852,3037,33348,24031,26565,109851,14855,7802,39373,81009,56439,9589,20551,3800,4204,27498,23276,8845,6932,9402,9939,6875,45012,9640,14126,28144,10496,7475,4708,9466
B001-2,小児科外来診療料,113003810,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付しない場合）再診時（１日につき）,524,413448,6330,1132,1722,4953,1756,2037,7651,8300,9591,18840,20734,11403,29757,11378,2735,9712,8313,6250,1120,14626,11209,8974,41939,4647,2799,18570,25505,18580,2451,7772,1769,1952,13250,10281,3286,2344,4954,4560,2649,14441,3691,5983,13348,4475,2178,1577,2541
B001-2-2,地域連携小児夜間・休日診療料,113006710,地域連携小児夜間・休日診療料１,450,474071,1072,4822,686,10154,1841,5240,1191,7801,5349,2618,39954,21474,70249,60004,9871,9927,4633,6416,6761,2089,0,14512,12448,5438,4970,7799,47554,35019,5214,311,4408,1007,2751,4407,3940,3095,2450,5156,3700,20452,7061,525,511,3987,6368,1066,0
B001-2-2,地域連携小児夜間・休日診療料,113008210,地域連携小児夜間・休日診療料２,600,241518,0,0,0,0,0,0,1280,9060,589,0,6193,12443,40343,15879,0,0,0,3042,0,0,4225,1907,0,578,8883,8393,28112,0,0,0,0,0,13699,15288,4156,0,3558,0,0,28968,0,0,9913,10564,0,2518,12622
B001-2-3,乳幼児育児栄養指導料,111000470,乳幼児育児栄養指導料,130,1024481,52452,11824,7222,7606,2599,8258,11161,22739,10975,3173,50810,49952,85251,72604,24637,1451,8681,4390,4187,11042,6780,24585,42694,15533,17059,22044,123770,64409,18343,6218,8082,2713,18255,38544,12640,4459,6604,9024,6224,39090,3828,9294,7422,9506,13211,25575,34514
B001-2-3,乳幼児育児栄養指導料,113037110,乳幼児育児栄養指導料（情報通信機器を用いた場合）,113,1511,67,34,0,0,0,-,0,11,-,0,98,55,359,86,13,0,-,0,0,0,-,39,-,0,10,-,338,311,0,-,0,0,0,-,-,0,0,0,0,0,0,-,0,19,0,31,-
B001-2-4,地域連携夜間・休日診療料,113011610,地域連携夜間・休日診療料,200,942476,7130,12611,1301,15364,1015,15210,383,16236,4359,10835,18640,30160,173633,87054,33448,38949,5347,1458,4072,4225,7833,41738,8899,8608,13786,38322,116262,19817,0,1247,0,0,19121,17663,21635,3221,10345,20712,0,70984,5510,0,6023,0,9412,3620,17658
B001-2-5,院内トリアージ実施料,113013710,院内トリアージ実施料,300,10027651,32516,59855,37505,255227,38088,20591,64883,203704,120912,190204,280287,350057,1587879,669418,195527,70975,27798,13631,85102,227084,195683,334705,292498,69386,48780,271846,1090741,653664,180020,83161,40770,44853,94186,407781,11454,7266,37111,121666,16199,710367,42407,124205,206951,100609,119369,119396,103227
B001-2-5,院内トリアージ実施料,113032950,院内トリアージ実施料（新型コロナウイルス感染症に係る診療報酬上の臨時的な取扱い）,300,31113921,1212020,229833,285746,436852,213062,301816,457140,647461,493834,472396,1945380,1421475,3197165,1947236,412165,231065,364633,269520,178642,467869,538052,853293,2499646,541104,436008,557642,2084678,1164486,270601,248159,131421,164011,558197,597032,396843,221806,303536,328678,176141,1366972,295413,327549,556523,339309,291900,507353,407017
B001-2-6,夜間休日救急搬送医学管理料,113013810,夜間休日救急搬送医学管理料,600,938424,30971,6163,5831,13524,5603,4978,12423,18037,9960,11722,58818,52737,151442,77337,11712,5701,5782,3514,7040,11216,11822,17282,34357,15900,6270,18400,102471,45786,12994,6326,3765,2193,10579,16271,7211,3770,4984,14349,3198,39326,4122,6863,12823,6298,5091,11462,12300
B001-2-7,外来リハビリテーション診療料,113013910,外来リハビリテーション診療料１,73,46571,5506,198,33,287,-,388,14,661,553,459,3034,2950,2308,2049,1180,79,638,0,141,912,951,443,2804,290,53,898,3356,3194,365,517,105,-,320,3434,1546,238,537,139,59,2708,532,283,267,934,260,447,492
B001-2-7,外来リハビリテーション診療料,113014010,外来リハビリテーション診療料２,110,189498,26717,2400,158,1509,242,1554,531,5935,2712,2771,13111,12731,17015,14877,3321,503,1312,910,684,2913,1945,6356,7204,979,1441,3032,10629,7701,1810,959,329,698,1639,3137,3121,1823,1272,892,803,10991,2311,770,1283,2337,1622,1694,857
B001-2-8,外来放射線照射診療料,113014110,外来放射線照射診療料,297,122208,4186,973,1220,2678,405,1230,999,2935,2329,2420,5734,7719,15989,11407,2096,477,840,377,826,2057,1976,4569,7844,1538,936,2472,9413,5647,1561,514,465,212,1092,3043,707,575,701,894,361,3940,1624,1224,913,645,509,1107,876
B001-2-9,地域包括診療料,113015810,地域包括診療料２（月１回）,1600,3008,210,0,0,386,16,-,0,446,0,26,-,160,97,29,0,0,-,0,0,49,0,41,255,0,16,0,199,40,0,137,0,0,96,169,-,0,-,11,84,137,-,0,210,35,-,120,0
B001-2-9,地域包括診療料,113024810,地域包括診療料１（月１回）,1660,8957,775,29,0,0,47,0,237,-,29,150,268,137,2605,117,276,51,0,0,0,-,66,50,460,0,12,142,388,357,0,-,46,0,544,43,0,-,0,-,0,832,0,660,189,264,0,166,0
B001-2-10,認知症地域包括診療料,113018410,認知症地域包括診療料２（月１回）,1613,702,-,0,0,14,0,0,0,-,0,0,0,-,316,-,0,70,0,0,0,-,0,23,15,0,0,0,-,-,0,-,0,0,-,83,-,27,0,-,-,70,0,0,-,28,0,0,0
B001-2-10,認知症地域包括診療料,113025710,認知症地域包括診療料１（月１回）,1681,1768,45,0,0,0,18,0,13,0,-,-,61,208,167,-,33,-,0,0,0,0,-,11,90,0,0,-,22,46,0,0,0,0,121,0,0,0,0,0,0,-,0,134,-,757,0,-,0
B001-2-11,小児かかりつけ診療料,113037210,小児かかりつけ診療料１（処方箋を交付する場合）初診時,641,409621,7228,322,236,2012,1324,492,3998,7106,4246,6381,22130,18347,69002,26622,2307,5666,8810,1503,2375,4070,4886,17590,50539,5266,8002,3076,14457,12422,16,2865,967,1704,3733,7329,5142,2990,1031,6443,39,37890,7031,2051,8060,4308,4223,542,2947
B001-2-11,小児かかりつけ診療料,113037310,小児かかりつけ診療料１（処方箋を交付する場合）再診時,448,339596,5793,233,173,2026,1311,326,3166,5301,3379,5379,18676,14048,61265,22483,2020,4936,6320,1069,1794,3333,3650,15025,40997,3714,8686,2475,11446,9531,11,1821,938,1410,2768,5770,4899,2331,1066,6124,25,31030,5745,1700,6815,3123,3187,438,1923
B001-2-11,小児かかりつけ診療料,113037410,小児かかりつけ診療料１（処方箋を交付しない場合）初診時,758,75900,715,0,0,304,29,0,760,834,1152,1849,1589,1339,5779,1049,1527,2382,3461,1303,715,1335,990,3359,17860,13,928,166,2393,2746,1560,822,474,106,1460,88,1123,326,1722,1627,442,3292,1394,3013,2989,466,424,0,0
B001-2-11,小児かかりつけ診療料,113037510,小児かかりつけ診療料１（処方箋を交付しない場合）再診時,566,49259,234,0,0,191,-,0,375,513,800,1199,846,655,4003,843,985,1638,1961,688,472,737,514,2144,11916,-,500,99,1343,1846,1040,535,423,58,999,50,809,196,1147,1278,285,2130,1010,2208,1931,264,362,0,0
B001-2-11,小児かかりつけ診療料,113037610,小児かかりつけ診療料２（処方箋を交付する場合）初診時,630,62213,3905,-,0,131,0,0,1749,351,118,107,4355,7728,10821,2823,1409,1599,0,0,444,155,0,525,3800,1904,0,1039,1520,3019,163,763,0,0,467,26,725,1673,504,3016,190,4529,427,899,557,536,229,-,-
B001-2-11,小児かかりつけ診療料,113037710,小児かかりつけ診療料２（処方箋を交付する場合）再診時,437,51449,3053,-,0,160,0,0,1265,301,240,94,3813,6065,9295,1735,1114,1514,0,0,384,314,0,386,4124,1420,0,854,909,1749,168,935,0,0,406,19,541,1679,494,2114,302,4060,274,575,519,369,178,-,13
B001-2-11,小児かかりつけ診療料,113037810,小児かかりつけ診療料２（処方箋を交付しない場合）初診時,747,8658,0,0,0,0,0,0,0,-,0,397,975,207,1563,201,0,87,0,0,0,1086,0,0,28,-,0,0,0,240,-,2359,0,0,401,0,0,118,0,-,-,-,0,920,0,0,12,0,52
B001-2-11,小児かかりつけ診療料,113037910,小児かかりつけ診療料２（処方箋を交付しない場合）再診時,555,5278,0,0,0,0,0,0,0,-,0,225,570,70,759,38,0,91,0,0,0,669,0,0,31,-,0,0,0,57,0,1609,0,0,366,0,0,53,-,-,-,-,0,686,0,-,-,0,36
B001-2-12,外来腫瘍化学療法診療料,113038010,外来腫瘍化学療法診療料１（抗悪性腫瘍剤を投与した場合）,700,416785,18416,5036,4223,7974,3901,3624,5853,8567,6929,6646,17817,21025,47134,27203,8014,4286,4019,2674,2263,7221,6555,12683,25687,5126,4681,9237,32751,18303,5604,3548,2243,2123,6650,10362,4719,2723,3437,4161,2290,16700,2232,4206,4820,3468,2552,4690,3658
B001-2-12,外来腫瘍化学療法診療料,113038110,外来腫瘍化学療法診療料１（抗悪性腫瘍剤の投与その他必要な治療管理を行った場合）,400,181685,7826,1847,1369,2907,1911,1458,1397,3879,3418,2911,7651,9237,18434,12870,4622,1319,671,604,744,4463,2816,5958,13014,2627,2337,3808,16268,8925,2422,1531,563,856,3154,5468,1804,1013,1495,2024,978,5814,743,1761,2133,1569,472,1509,1255
B001-2-12,外来腫瘍化学療法診療料,113038210,外来腫瘍化学療法診療料２（抗悪性腫瘍剤を投与した場合）,570,8650,529,146,14,96,11,-,424,251,92,130,634,280,834,931,33,-,-,253,104,13,227,290,315,46,15,103,367,142,-,159,0,96,45,176,35,133,117,456,49,255,48,111,99,130,214,147,90
B001-2-12,外来腫瘍化学療法診療料,113038310,外来腫瘍化学療法診療料２（抗悪性腫瘍剤の投与その他必要な治療管理を行った場合）,270,4253,411,15,-,45,-,0,144,89,-,15,322,413,295,552,-,0,0,58,61,11,133,39,150,43,14,59,237,71,0,92,0,51,25,80,22,-,42,273,11,121,16,26,57,22,95,76,37
B001-3,生活習慣病管理料,113041710,生活習慣病管理料（脂質異常症を主病とする場合）,570,92356,2491,278,242,1115,635,658,711,1842,1222,1395,5327,2984,21013,9403,1138,81,195,163,349,686,1974,1686,3926,299,308,2356,9040,4749,502,611,167,121,781,1853,810,387,333,466,170,4849,785,1593,602,875,295,392,502
B001-3,生活習慣病管理料,113041810,生活習慣病管理料（高血圧症を主病とする場合）,620,316780,8439,1637,1448,6511,2525,3310,2816,7349,5264,5503,18817,13186,59103,28492,3456,500,577,866,1242,3366,5940,6396,13696,1810,1419,7139,28473,14807,1558,2152,607,412,3452,5459,2962,1246,1588,1925,878,18013,2508,8020,2511,2927,1562,2898,2037
B001-3,生活習慣病管理料,113041910,生活習慣病管理料（糖尿病を主病とする場合）,720,106963,2044,459,279,1745,923,1244,1493,2181,1666,2305,5985,3690,19734,8154,1329,431,281,213,2020,1621,2201,2298,5574,447,332,2560,9017,5314,508,439,216,154,1103,2154,784,374,461,674,282,7031,843,2375,642,1781,370,851,389
B001-3-2,ニコチン依存症管理料,113008310,ニコチン依存症管理料１（初回）,230,22985,932,86,252,412,177,150,298,403,320,310,794,788,2407,1480,266,141,332,217,135,340,419,690,1125,296,311,517,1906,1088,324,305,222,207,445,861,258,203,273,281,193,741,175,228,491,229,219,276,465
B001-3-2,ニコチン依存症管理料,113008410,ニコチン依存症管理料１（２回目から４回目まで）（対面で行った場合）,184,18706,774,78,201,338,151,132,264,346,250,255,643,678,1887,1154,213,119,301,184,109,294,352,584,936,242,267,432,1509,869,263,240,177,188,388,702,194,157,228,242,159,558,137,177,400,190,172,215,358
B001-3-2,ニコチン依存症管理料,113008510,ニコチン依存症管理料１（５回目）,180,5925,240,28,70,125,50,36,79,114,79,82,217,265,587,388,58,39,118,71,27,99,114,193,327,50,79,155,462,240,77,74,57,66,128,204,36,39,81,70,55,135,36,63,136,75,50,55,96
B001-3-2,ニコチン依存症管理料,113031610,ニコチン依存症管理料１（２回目から４回目まで）（情報通信機器を用いた場合）,155,95,-,0,-,-,0,-,0,-,0,-,-,0,29,-,-,0,-,0,0,-,0,0,-,0,0,12,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,15
B001-3-2,ニコチン依存症管理料,113031710,ニコチン依存症管理料２（一連につき）,800,2546,176,-,14,32,10,-,47,79,22,23,82,119,568,134,-,13,34,51,11,18,46,20,69,33,23,27,151,163,14,15,-,17,70,55,16,18,14,20,17,123,-,48,-,17,55,39,18
B001-3-2,ニコチン依存症管理料,113033450,ニコチン依存症管理料１（初回）（診療報酬上臨時的取扱）,147,29,0,0,0,0,0,0,0,-,0,0,-,-,0,0,-,0,-,0,-,-,-,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0
B001-3-2,ニコチン依存症管理料,113033550,ニコチン依存症管理料１（５回目）（診療報酬上臨時的取扱）,155,11,-,0,0,0,0,0,0,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001-4,手術前医学管理料,113004110,手術前医学管理料,1192,7756,418,0,363,777,0,0,0,-,0,16,471,-,2542,1327,0,0,-,0,-,-,49,0,-,-,79,0,437,620,0,14,10,263,0,-,0,0,0,208,0,101,-,-,0,-,0,26,-
B001-7,リンパ浮腫指導管理料,113010410,リンパ浮腫指導管理料,100,14223,421,136,140,213,37,125,40,251,107,439,460,375,2247,857,387,75,115,59,-,205,345,447,1110,138,191,395,1102,643,268,73,77,34,310,427,40,54,56,173,-,619,129,142,72,151,142,261,104
B001-8,臍ヘルニア圧迫指導管理料,113015910,臍ヘルニア圧迫指導管理料,100,12250,596,154,157,130,94,80,78,166,125,71,574,403,1002,656,303,39,59,71,85,249,156,240,654,139,324,212,1094,741,95,24,97,96,330,553,194,84,131,157,140,573,80,171,105,83,232,387,106
B001-9,療養・就労両立支援指導料,113031810,療養・就労両立支援指導料（初回）,800,987,20,-,-,23,-,0,-,-,17,10,21,59,152,112,-,-,12,12,-,44,-,20,67,16,15,20,73,28,11,-,-,-,11,26,-,-,-,30,-,72,-,-,-,-,-,-,-
B001-9,療養・就労両立支援指導料,113031910,療養・就労両立支援指導料（２回目以降）,400,316,-,0,0,15,-,0,0,0,-,-,-,17,81,32,0,0,-,-,0,16,-,-,21,-,-,-,14,-,0,-,0,-,-,11,-,-,0,11,-,34,0,-,-,-,-,0,0
B001-9,療養・就労両立支援指導料,113042110,療養・就労両立支援指導料（初回）（情報通信機器を用いた場合）,696,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B002,開放型病院共同指導料（１）,180010510,開放型病院共同指導料（１）,350,11134,212,0,-,87,170,0,197,94,365,35,260,117,164,37,49,99,84,389,0,15,196,250,158,129,421,228,917,186,16,125,15,-,273,424,1594,37,288,121,87,1349,26,159,669,461,114,287,219
B004,退院時共同指導料１,113008610,退院時共同指導料１（在宅療養支援診療所の場合）,1500,23633,865,24,70,669,11,207,156,200,105,136,761,901,2602,1313,110,256,470,175,63,217,1199,771,2603,180,344,610,1882,1168,310,202,185,240,639,421,92,136,99,235,42,1042,86,306,181,262,167,365,558
B004,退院時共同指導料１,113008710,退院時共同指導料１（１以外の場合）,900,2619,152,0,0,-,23,-,-,21,19,-,54,26,98,41,-,115,136,18,-,115,49,117,335,52,23,65,75,186,47,22,-,18,113,107,15,57,66,41,-,173,-,17,95,12,-,36,37
B005,退院時共同指導料２,113008910,退院時共同指導料２,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B005-1-3,介護保険リハビリテーション移行支援料,113016010,介護保険リハビリテーション移行支援料,500,168,-,0,0,0,0,0,0,-,-,0,10,-,18,-,-,0,0,-,0,-,12,0,10,-,-,-,29,11,0,-,-,-,-,-,-,0,-,0,0,-,0,-,-,-,0,13,0
B005-4,ハイリスク妊産婦共同管理料（１）,113009210,ハイリスク妊産婦共同管理料（１）,800,188,-,0,0,0,0,0,-,0,-,0,-,-,0,-,-,-,0,0,0,-,0,0,-,-,0,0,12,16,-,0,0,0,-,-,0,0,-,-,0,-,0,0,0,0,-,0,100
B005-6,がん治療連携計画策定料,113012010,がん治療連携計画策定料１,750,11573,15,160,0,272,33,98,46,64,13,554,95,178,1936,616,211,88,-,105,0,72,162,322,1741,-,131,77,937,556,119,161,122,46,140,725,21,191,128,187,158,328,83,312,182,79,68,13,13
B005-6,がん治療連携計画策定料,113014410,がん治療連携計画策定料２,300,301,-,0,0,-,0,-,0,-,0,0,0,-,23,10,0,0,0,0,0,12,0,0,73,0,0,0,146,13,0,0,0,0,0,-,0,0,0,0,-,-,0,0,-,0,0,-,0
B005-6-2,がん治療連携指導料,113012110,がん治療連携指導料,300,66188,143,1344,68,1544,134,603,149,295,76,1400,1183,1716,6416,2030,4773,294,-,255,-,947,1851,2878,9999,386,446,659,5782,4357,475,745,144,255,185,5735,146,423,469,1193,427,1893,352,1287,1136,177,895,142,368
B005-6-3,がん治療連携管理料,113022210,がん治療連携管理料（がん診療連携拠点病院の場合）,500,18474,548,-,338,256,98,82,118,569,899,154,539,850,1824,1621,631,182,-,24,0,1001,88,879,897,132,214,692,1535,855,180,114,47,40,41,565,149,151,57,91,28,871,100,259,301,158,142,115,19
B005-6-3,がん治療連携管理料,113022310,がん治療連携管理料（地域がん診療病院の場合）,300,987,0,65,0,-,49,-,-,-,15,18,19,53,12,18,28,-,0,-,0,-,81,100,34,-,-,22,100,41,10,-,-,-,-,14,-,-,-,-,25,15,-,-,13,-,-,134,40
B005-6-3,がん治療連携管理料,113022410,がん治療連携管理料（小児がん拠点病院の場合）,750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B005-6-4,外来がん患者在宅連携指導料,113022510,外来がん患者在宅連携指導料,500,7780,203,0,-,345,-,90,15,100,57,19,350,302,1364,717,0,16,29,-,0,274,248,144,645,113,12,75,750,822,130,0,0,16,48,242,74,59,20,69,99,163,-,26,66,32,-,15,14
B005-6-4,外来がん患者在宅連携指導料,113042410,外来がん患者在宅連携指導料（情報通信機器を用いた場合）,435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B005-7,認知症専門診断管理料,113014610,認知症専門診断管理料２（基幹型又は地域型の場合）,300,4532,70,73,0,136,73,49,14,308,121,179,110,23,418,93,80,59,21,29,0,62,61,31,265,51,33,-,298,413,0,19,124,15,43,323,60,23,-,-,25,415,10,-,135,0,98,137,19
B005-7,認知症専門診断管理料,113022610,認知症専門診断管理料１（基幹型又は地域型の場合）,700,22682,1194,427,38,779,179,474,95,615,251,656,948,539,1964,1066,740,140,68,278,53,344,85,603,1586,102,259,175,1951,1850,118,116,241,71,363,490,303,200,15,49,256,856,34,474,1010,47,215,205,160
B005-7,認知症専門診断管理料,113022710,認知症専門診断管理料１（連携型の場合）,500,1422,49,20,0,13,28,0,18,0,0,48,0,0,50,205,38,0,0,0,0,0,0,67,30,184,89,0,179,198,0,131,0,-,0,16,0,0,0,0,0,0,0,-,-,0,0,35,10
B005-7,認知症専門診断管理料,113042610,認知症専門診断管理料２（連携型の場合）,280,63,0,-,0,0,-,0,0,0,0,0,0,0,-,22,15,0,0,0,0,0,0,0,0,-,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0
B005-7-2,認知症療養指導料,113014710,認知症療養指導料１,350,1293,113,0,0,0,32,0,-,10,-,81,31,10,86,115,120,-,-,0,0,30,-,25,137,-,26,0,70,206,0,37,-,-,13,-,11,-,-,-,0,23,0,43,-,-,-,-,0
B005-7-2,認知症療養指導料,113028110,認知症療養指導料２,300,867,137,0,0,0,-,0,-,-,0,11,0,-,13,25,25,0,395,-,0,0,0,-,-,0,-,0,25,103,14,-,-,-,-,-,0,-,0,-,0,40,0,13,0,0,0,0,0
B005-7-2,認知症療養指導料,113028210,認知症療養指導料３,300,14285,888,0,558,0,49,38,101,42,572,83,472,429,1757,2227,390,0,744,42,168,301,25,898,91,477,130,381,1018,746,11,30,86,156,-,387,-,11,0,97,54,236,-,259,71,12,0,244,0
B005-7-3,認知症サポート指導料,113028310,認知症サポート指導料,450,6241,329,0,47,98,-,22,0,192,101,78,124,191,197,540,117,34,512,36,0,89,67,137,141,49,26,91,557,500,55,34,-,51,244,268,-,24,-,-,14,222,0,150,323,32,381,136,-
B005-8,肝炎インターフェロン治療計画料,113012310,肝炎インターフェロン治療計画料,700,-,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
B005-9,外来排尿自立指導料,113032810,外来排尿自立指導料,200,11534,123,-,53,79,135,183,156,194,723,446,597,656,1017,291,48,339,146,42,112,507,251,75,336,53,211,231,1544,634,405,-,86,25,368,230,50,225,113,140,99,240,33,198,-,99,0,0,32
B005-10,ハイリスク妊産婦連携指導料１,113028410,ハイリスク妊産婦連携指導料１,1000,1728,40,-,10,-,-,13,18,150,0,-,126,59,196,246,46,0,19,0,0,-,-,21,86,-,-,96,50,109,0,0,-,47,-,13,18,13,-,44,40,189,0,16,-,-,11,-,-
B005-10-2,ハイリスク妊産婦連携指導料２,113028510,ハイリスク妊産婦連携指導料２,750,506,15,-,-,0,0,11,-,34,0,-,48,56,80,26,0,0,0,0,-,0,0,0,42,0,0,-,24,36,0,0,0,16,-,11,-,0,0,-,0,12,0,0,-,-,-,0,37
B005-11,遠隔連携診療料,113032110,遠隔連携診療料（診断を目的とする場合）,750,30,-,0,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,18,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0
B005-11,遠隔連携診療料,113042910,遠隔連携診療料（その他の場合）,500,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0
B005-12,こころの連携指導料（１）,113043010,こころの連携指導料（１）,350,761,12,0,22,34,0,17,0,-,-,-,18,10,274,-,10,0,-,0,0,49,-,-,26,-,-,-,18,21,-,0,0,-,14,143,0,-,0,0,-,-,0,13,-,0,0,0,-
B005-13,こころの連携指導料（２）,113043110,こころの連携指導料（２）,500,371,15,0,0,-,0,-,0,33,0,0,-,44,151,-,-,0,-,0,0,14,-,0,-,0,-,-,14,0,0,0,0,-,11,21,0,0,-,0,0,-,0,-,10,-,0,0,-
B006,救急救命管理料,113002610,救急救命管理料,500,5010,-,28,0,-,0,0,0,219,282,0,282,14,362,2146,-,0,0,0,0,70,-,106,11,-,398,70,282,351,-,15,0,54,18,0,-,0,0,0,-,73,0,-,-,-,0,-,189
B006-3,退院時リハビリテーション指導料,190056910,退院時リハビリテーション指導料,300,520,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,469,0,0,0,0,0,0,0,0,0,0
